RegionID,RegionName,SizeRank,Mar2008,2008-04,2008-05,2008-06,2008-07,2008-08,2008-09,2008-10,2008-11,2008-12,2009-01,2009-02,2009-03,2009-04,2009-05,2009-06,2009-07,2009-08,2009-09,2009-10,2009-11,2009-12,2010-01,2010-02,2010-03,2010-04,2010-05,2010-06,2010-07,2010-08,2010-09,2010-10,2010-11,2010-12,2011-01,2011-02,2011-03,2011-04,2011-05,2011-06,2011-07,2011-08,2011-09,2011-10,2011-11,2011-12,2012-01,2012-02,2012-03,2012-04,2012-05,2012-06,2012-07,2012-08,2012-09,2012-10,2012-11,2012-12,2013-01,2013-02,2013-03,2013-04,2013-05,2013-06,2013-07,2013-08,2013-09,2013-10,2013-11,2013-12,2014-01,2014-02,2014-03,2014-04,2014-05,2014-06,2014-07,2014-08,2014-09,2014-10,2014-11,2014-12,2015-01,2015-02,2015-03,2015-04,2015-05,2015-06,2015-07,2015-08,2015-09,2015-10,2015-11,2015-12,2016-01,2016-02,2016-03,2016-04,2016-05,2016-06,2016-07,2016-08,2016-09,2016-10,2016-11,2016-12,2017-01,2017-02,2017-03,2017-04,2017-05,2017-06,2017-07,2017-08,2017-09,2017-10,2017-11,2017-12,2018-01,2018-02,2018-03,2018-04,2018-05
9,California,1,386300,369700,347700,332800,318e3,304800,291400,279100,264800,254100,241e3,234700,225600,219800,216100,221e3,231200,238600,245e3,249400,255800,260600,261300,261400,259900,259600,263700,263500,266600,261800,265300,262800,261600,258e3,255e3,254300,250500,249600,246400,245500,244400,244500,245800,245e3,245400,243700,245300,246200,248500,254200,259800,266e3,272300,278400,287700,293300,300800,306800,308800,309900,313500,323800,336300,346200,354200,357600,359100,361100,364100,367800,368300,369600,370900,373600,377200,377200,380100,381900,385700,386600,386500,385400,386900,391e3,395e3,398600,399200,402200,402700,404600,405700,406800,410300,413500,418200,416400,414800,414400,418e3,421100,421800,423e3,424700,428900,430800,432800,435700,440400,445400,446500,449300,452600,456700,457e3,461200,463600,470800,469900,472400,475700,481500,487300,486500
54,Texas,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,173100,174300,176200,177700,178300,178700,179500,180700,181100,183100,183800,185300,186500,187100,187400,185700,185800,186600,187800,189100,189700,191100,192300,193900,194600,195400,196600,198300,200600,201700,202200,202300,203700,204700,205400,205e3,206300,209600,214300,216e3,215900,214e3,214400,215300,217800,219200,220800,
43,New York,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,238400,242300,250500,257700,260100,255200,251300,254500,249300,246300,233700,228e3,222200,223900,222900,226200,225300,229300,235900,238600,239800,238800,237800,241100,244600,247800,244200,241e3,236200,243200,244300,256200,256700,261700,259100,257900,256600,256100,257900,256400,253900,256200,254e3,251300,245200,243600,246e3,247e3,249800,248600,250900,249700,250100,246700,248500,245100,248200,248900,252300,255500,255e3,251300,247400,254900,263500,263600,262900,266e3,270100,267900,260600,261e3,262400,266e3,270800,270800,275100,274100,275100,276e3,273600,276800,274600,283800,290300,296200,289e3,,,
14,Florida,4,205900,197300,191100,185800,183e3,178900,174400,168700,163200,156500,150400,144500,138800,132900,127600,124600,125600,126500,128600,128400,130200,130900,130300,128900,127300,126200,124900,123300,120300,117100,114600,114800,116100,117e3,115200,111400,108600,109100,112300,113900,115500,115600,116200,115800,116100,118100,120500,122300,122600,123200,124300,125800,125700,126100,127e3,129e3,130900,133900,136300,138e3,138100,14e4,141900,144200,145300,147400,148600,149200,150300,151100,151700,150500,150500,150800,151700,152200,154100,154900,156300,157200,159700,161100,161900,163e3,165100,167200,169500,170300,171e3,170600,171900,173700,174900,176500,179700,182600,184e3,183200,183400,184400,185600,187900,188800,190700,191e3,192e3,194700,198400,201100,202e3,201400,202100,202500,203600,204100,206200,209400,214200,221200,227e3,230400,226500,
21,Illinois,5,207600,203300,190500,182700,180800,181100,178100,175e3,173300,174e3,169400,166400,162e3,157500,151900,147200,15e4,155100,156800,157500,157500,163300,166600,167300,163800,159200,155600,155700,157200,156e3,148400,144900,146900,152600,153200,148400,143800,138600,135900,136500,139600,142900,140700,137100,134e3,135e3,134600,131400,131100,130300,132500,132900,135600,138100,135700,134e3,135200,137500,14e4,137900,137600,136100,139400,144100,152800,157500,158500,159400,161600,166700,167e3,167900,166100,165900,164800,166800,167400,167700,169e3,170300,172600,172800,174e3,174700,174800,175100,175600,175800,179300,180300,180900,178300,177400,178300,177900,179e3,179900,181100,181400,181900,183600,184600,180400,178100,178500,184200,187900,189500,192300,192400,192300,189500,190700,190500,186100,183600,184900,191100,193800,196300,201400,205600,207800
47,Pennsylvania,6,147600,145900,144500,141400,142100,142600,143700,141200,139800,137800,137300,136800,138700,138100,137200,135700,137100,139200,141900,141500,142700,143700,144200,144e3,144400,144600,144400,140900,139700,136800,135900,135800,137700,139700,141700,141800,139800,135700,133100,133e3,134600,134500,132600,130800,131200,134600,138100,140300,140300,139500,139800,140300,141800,140700,139200,137900,14e4,142700,144100,143800,143300,143300,143500,144e3,146100,146300,145800,144400,143700,144100,143400,144700,144900,143200,141900,140500,141800,143200,145e3,145300,145e3,145300,146400,146600,147400,147e3,147e3,146800,148500,148600,149300,148e3,148400,147600,149e3,150200,149400,149500,149600,152200,152300,152300,151200,152100,153300,154500,154600,154400,155100,156e3,157500,159100,160700,160400,159100,158300,159200,162800,166700,167500,168800,165e3,
44,Ohio,7,110400,108500,106700,104900,104e3,103500,102100,99600,93500,89200,85800,85300,84800,86500,89e3,92500,95700,98500,101500,103900,105800,105800,103e3,102500,101600,102300,102800,102800,98900,94500,90400,90700,91400,95900,96200,92800,86e3,84300,86e3,89400,92e3,93e3,91700,90600,90100,93e3,92100,91e3,88700,91100,95200,97300,1e5,99900,1e5,99200,99500,102200,103200,102800,101100,1e5,102400,104900,108100,109300,108600,107100,108e3,108900,110200,109600,110600,112200,112900,114e3,114700,115500,116200,116700,117100,119e3,116800,118800,117700,119400,118300,117300,117800,118e3,118900,119e3,115e3,115e3,115500,121500,121800,123300,122e3,122300,121100,121700,122200,124800,125400,126100,127800,129800,131400,130500,129300,127300,125300,125500,127200,129700,131200,134400,137e3,141400,140900,139100,
16,Georgia,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,109200,107800,104e3,99e3,93900,94700,95800,97800,96700,96900,97500,98200,98600,99700,102200,104100,104800,106700,111100,115300,117500,117600,119900,121800,125100,127100,130900,131600,132400,131500,131600,131800,132400,131800,131e3,131300,133900,136800,139100,139700,140600,141300,143800,145200,146600,147400,153100,154800,155700,151600,151800,154100,155700,156100,156500,158700,161200,162e3,161300,161100,159900,159500,158500,158200,158700,161200,162300,163700,164200,167800,168900,17e4,168600,168800,168600,170100,172300,174600,177100,178700,181300,182900,184400,
36,North Carolina,9,155700,155e3,150100,147900,147700,147800,147300,148100,145900,145500,145200,151800,154600,153e3,148400,146500,147900,148400,149100,149900,150500,149900,152500,154800,155700,152e3,148700,147700,148600,148800,149400,149300,150200,152e3,153200,153900,151e3,149300,147500,149100,148600,150700,148400,148200,146100,147900,149300,151700,153100,153400,151e3,150400,150200,151e3,15e4,148900,150500,153900,156300,157400,155500,156200,155600,156200,156100,156e3,156300,156500,156500,157600,158e3,158700,157600,156800,157500,157100,157900,156100,156300,155800,157700,159e3,161300,165e3,166700,165e3,161300,161500,164500,166300,166e3,165e3,162500,160300,160700,162200,163800,165500,166900,169400,167700,169500,170400,174e3,175200,176e3,176100,177400,179700,181900,180700,181e3,180400,181e3,180600,181600,185100,187900,190500,194e3,197e3,197100,
40,New Jersey,10,326300,327900,323800,311800,305800,301e3,299500,296700,297e3,295700,292600,288800,289900,287900,285300,276800,272600,269600,267200,267600,267300,268600,270500,273e3,278900,278900,277700,273500,272600,271700,268700,266700,267200,271700,273100,273e3,272100,273100,273300,271800,271200,267700,265200,260800,258100,257200,255900,257100,258400,263200,265700,267900,265800,264200,259600,259500,259500,260100,261400,261800,261700,260900,261800,264200,266800,271300,274e3,275600,273800,275300,277e3,275200,277800,277100,281600,278100,279700,278200,275600,271300,270800,272600,273900,275e3,275500,276300,276200,276300,275900,273900,273400,273800,276500,273600,272200,271600,273800,268900,261700,257800,262100,268700,276100,276400,275e3,277300,274700,273100,264900,266200,267300,264700,262500,261e3,267e3,269e3,268500,264900,263800,263100,265300,265300,
56,Virginia,11,250500,247300,239700,234600,232700,233100,232900,230900,227500,222e3,219300,219200,219100,216300,213e3,211900,214900,219400,226100,229e3,228100,227e3,229400,230900,23e4,225500,220800,217e3,220500,227800,234600,233200,231900,230800,227700,223400,216100,213200,209800,210400,216200,220600,225600,220600,219400,215e3,215300,214200,216800,220600,225300,228200,231500,233200,238300,238400,243600,240800,241900,235500,235e3,234800,238700,245800,247300,252400,251e3,253100,250500,247700,245e3,242900,243500,244800,244100,244700,244700,247e3,246800,248200,248800,251100,251700,254600,254900,256100,256500,255600,256300,254900,254400,251e3,247e3,246800,250800,252900,252900,251300,251200,252e3,253e3,253300,254100,254800,256700,255600,256800,26e4,261400,262600,259600,260500,260700,260100,260100,257600,259800,260300,265100,267300,270200,268900,
59,Washington,12,283e3,277e3,269800,262500,258300,257700,255500,255100,253300,254200,255500,257900,254800,248900,239300,237600,235600,237400,238200,240300,240300,241600,246300,250600,250300,245400,240800,236700,239300,240900,243e3,239e3,238e3,240900,240600,241100,235500,231e3,225e3,221400,220300,220600,220400,220900,220900,223700,222100,220800,218e3,221800,224500,230200,231e3,232900,233900,237700,241200,244300,244400,245e3,246e3,248e3,249400,249700,251500,254e3,255400,255100,254600,253600,254400,255700,256e3,254900,253400,255e3,258500,260300,261700,262500,262700,263300,264100,268400,269900,273200,275100,277100,275400,274500,275200,278700,281100,284800,287200,288400,289300,290100,292800,294e3,295500,297600,299200,301200,304200,307200,312400,313100,314900,314800,316900,319800,321e3,323e3,325100,328800,334200,339e3,342600,348300,352500,356400,345700
26,Massachusetts,13,313300,308700,299e3,294600,291e3,289300,285700,284900,276900,271700,262900,265700,264300,266900,264400,267700,271200,275700,277900,278200,273400,277900,281700,292200,290800,291e3,284500,286700,288600,295700,294300,292600,289900,288800,280700,271300,263700,266500,274500,284700,290400,291400,289200,284600,278400,274500,273200,276800,279100,284200,286900,293e3,295400,293800,290600,287800,289500,291100,288100,295200,296100,307200,306300,312200,313100,315500,316400,316700,311900,310400,311300,319400,322200,321800,321400,320700,322e3,319800,318100,317400,316800,319400,321500,330500,331e3,329600,323200,322900,325500,326600,327100,326900,326600,328400,327400,327300,325500,328200,329200,331500,331300,332400,333500,335600,338400,338500,339300,340600,342300,344400,345700,348600,349300,348600,350400,353800,358300,358500,357300,365800,367800,373500,
8,Arizona,14,22e4,214500,208700,202600,195e3,188300,180800,174500,165600,157400,147500,139700,132900,128300,125100,125400,127900,131200,133500,134100,135900,135700,135500,134500,134900,136e3,134900,133600,130600,129e3,127300,126200,124600,121500,119800,119e3,118600,118100,116100,116500,115800,115800,116900,118200,122600,124700,127700,128e3,131100,134900,141e3,145700,148100,150500,150600,154e3,156400,160700,161400,162200,163100,166600,169900,173e3,175200,176300,177400,178300,179800,180900,181200,180400,180800,180800,181500,180500,181400,182100,184200,184800,185800,186400,187700,189700,191300,193200,195400,197300,198e3,197200,197800,199700,201400,205300,206700,208100,207200,208900,210800,212400,213300,215300,216600,217700,218500,219900,221700,223500,224800,226300,227800,228500,229500,230500,233700,234900,237900,240500,244900,246400,244800,243100,242300
53,Tennessee,15,118900,118600,117600,116600,116e3,115900,115100,113300,110400,107300,107400,109600,111e3,111200,109900,111800,112100,113600,114e3,115e3,115700,114700,114600,112900,114e3,114100,115500,114400,111500,110100,108800,11e4,110200,113200,115200,115100,114100,112300,111600,109500,109200,110200,110900,110900,110700,112200,111900,111600,110800,112800,113600,113100,111700,111700,112400,113800,115e3,117e3,117400,117600,117300,119e3,120500,121700,122700,122600,122600,121600,121800,122e3,121600,123500,125300,127500,127600,128100,129500,130500,130900,131600,132900,134800,135400,135800,136500,136900,137500,137500,138300,139300,140600,141300,141700,141400,143100,143900,144600,144600,145100,146400,147300,148900,150500,153900,155600,157400,158600,160500,161e3,161600,160600,161900,162e3,165900,167e3,169100,169700,171700,175800,178400,181500,179400,
32,Missouri,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,127500,128700,129e3,128400,130700,131e3,130300,130300,127900,131600,129800,134900,134900,138300,139600,139600,140400,140100,140400,140100,139400,139300,137e3,137400,136900,139800,140800,142e3,142400,141900,142800,143800,147e3,150200,151700,152300,152100,153700,153800,154300,153300,153900,153200,154500,155500,157e3,156400,156500,155700,155700,155700,155700,158600,158800,159700,157100,157e3,164e3,164700,165400,159500,159900,16e4,16e4,161300,162500,164200,168500,173e3,183e3,181300,178700,
27,Maryland,17,272500,269900,265900,257100,249900,249800,251800,253900,254e3,249700,250700,249800,253700,251800,244400,238200,227100,230600,231700,238700,235e3,235500,236300,238e3,237200,232800,228e3,219300,208700,203e3,203700,211100,214900,214200,221600,230200,231300,224400,212900,210200,203800,206e3,204900,208700,209300,213400,216900,215600,218800,219600,226300,226500,224300,221500,216500,223200,225700,228700,229500,224200,226500,224600,231200,233400,239700,242200,241300,236300,236700,237500,239700,239200,242600,240700,243900,241300,242600,240500,242900,242600,242200,241800,240200,237300,236100,238600,239100,243700,242e3,242300,240200,240200,241500,241800,241400,245100,245800,249500,248200,247500,248700,249800,249700,252800,253600,255200,255300,258300,260700,261500,261500,260700,258200,257600,263200,266500,27e4,267300,268900,266600,271500,271100,
60,Wisconsin,18,154600,151900,151e3,147200,147500,146300,147200,147100,147100,146400,143900,142700,141200,139500,137600,135800,136200,136100,137700,139400,139600,141500,139200,141900,141300,140200,137100,134500,136700,137200,136800,135900,135700,138300,139900,14e4,137900,133500,133300,132200,133900,133500,135e3,136800,136500,135200,133700,133100,132100,132600,133200,134600,136100,138e3,138e3,138200,135800,139700,141600,144500,143700,145e3,145300,146800,146900,148900,149200,148500,147800,147900,144300,141300,140900,142200,145600,144400,147800,147900,150800,147700,148900,149700,153700,154100,154400,155200,158500,158e3,158500,156100,156100,156600,156600,157400,155700,157600,159600,162100,162600,162900,163200,162400,162200,162900,163800,164e3,164200,164500,165e3,164300,166600,166800,168200,167600,168800,170600,171200,172800,172100,173800,173700,175300,
